Kanji,Pronunciation,Definition,JLPT Level
誌,shiシ,"document, records",N2
庫,"ko, kuコ、 ク","warehouse, storehouse",N2
刊,kanカン,"publish, carve, engrave",N2
像,zouゾウ,"statue, picture, image, figure",N2
香,"kou, kyouコウ、 キョウ","incense, smell, perfume",N2
坂,hanハン,"slope, incline, hill",N2
底,teiテイ,"bottom, sole, depth, bottom price",N2
布,fuフ,"linen, cloth, spread, distribute",N2
寺,jiジ,"Buddhist temple",N2
宇,uウ,"eaves, roof, house, heaven",N2
巨,kyoキョ,"gigantic, big, large, great",N2
震,shinシン,"quake, shake, tremble, quiver",N2
希,kiキ,"hope, beg, request, pray",N2
触,shokuショク,"contact, touch, feel, hit, proclaim, announce",N2
依,"i, eイ、 エ","reliant, depend on, consequently, therefore, due to",N2
籍,sekiセキ,"enroll, register, membership",N2
汚,oオ,"dirty, pollute, disgrace, defile",N2
枚,"mai, baiマイ、 バイ","sheet of..., counter for flat thin objects",N2
複,fukuフク,"duplicate, double, compound, multiple",N2
